Train signal size,Train background size,Validation signal size,Validation background size,Loss,ACC,AUC,Loss-true,ACC-true,AUC-true,Sample Type,Model Name,TPR/FPR^0.5: FPR=0.1,TPR/FPR^0.5: FPR=0.01,TPR/FPR^0.5: FPR=0.001,Training epochs,time
15137,16187,3784,4046,0.6920458078384399,0.5234993614303959,0.5146378878625197,0.6910126805305481,0.5713,0.54773559,"Sensitivity: 0.0, Resolution: 25x25",SB_0.0_25x25,0.595140655643689,0.051,0.0189736659610102,21,2024-03-23 23:13:10.248597
15797,16347,3949,4086,0.6903823018074036,0.5275668948350964,0.5249032047990241,0.5568406581878662,0.89645,0.95414556,"Sensitivity: 6.0, Resolution: 25x25",SB_6.0_25x25,2.8207516728701942,5.509,8.259869248359808,35,2024-03-23 23:13:37.033702
15247,16213,3811,4052,0.6922467947006226,0.5216838356861249,0.5146833619001265,0.6771771907806396,0.6632,0.6921676500000001,"Sensitivity: 1.0, Resolution: 25x25",SB_1.0_25x25,0.9189578880449312,0.0689999999999999,0.0063245553203367,26,2024-03-23 23:14:24.637818
15907,16374,3976,4092,0.6907172203063965,0.5272682201289043,0.5276234324323261,0.6069885492324829,0.86715,0.936381105,"Sensitivity: 7.0, Resolution: 25x25",SB_7.0_25x25,2.588008037081801,4.036,4.253263452926471,30,2024-03-23 23:14:56.094501
15357,16240,3839,4059,0.691987931728363,0.5231704228918713,0.5176730295091911,0.6679373979568481,0.7286,0.786180855,"Sensitivity: 2.0, Resolution: 25x25",SB_2.0_25x25,1.3496601053598642,0.3369999999999999,0.0885437744847146,23,2024-03-23 23:15:37.998481
16017,16401,4004,4099,0.6895248889923096,0.5293101320498581,0.5303446553446554,0.5697618722915649,0.9004,0.963177,"Sensitivity: 8.0, Resolution: 25x25",SB_8.0_25x25,2.8324521002128176,5.472,7.72860660145152,27,2024-03-23 23:16:21.074828
15467,16267,3866,4066,0.6920917630195618,0.5220625315179022,0.5189096030346667,0.6588677763938904,0.7689,0.8270345450000001,"Sensitivity: 3.0, Resolution: 25x25",SB_3.0_25x25,1.6987755590424534,0.3989999999999999,0.1992234925906079,25,2024-03-23 23:16:54.803466
16127,16428,4031,4106,0.6892127394676208,0.5304166154602433,0.5357546537471469,0.5311288237571716,0.91955,0.975235925,"Sensitivity: 9.0, Resolution: 25x25",SB_9.0_25x25,2.959575662151586,6.454999999999999,7.665361048248152,29,2024-03-23 23:17:46.553756
15577,16294,3894,4072,0.6920725703239441,0.5239769018327893,0.5190818288273834,0.6412360072135925,0.8204,0.893489005,"Sensitivity: 4.0, Resolution: 25x25",SB_4.0_25x25,2.1490838978504305,1.872,1.1732050119224688,25,2024-03-23 23:18:11.948417
16237,16455,4059,4113,0.6881147623062134,0.5314488497307881,0.5356752249086489,0.5453649163246155,0.90665,0.963599315,"Sensitivity: 10.0, Resolution: 25x25",SB_10.0_25x25,2.879886265115343,6.525,11.248221637218926,34,2024-03-23 23:19:15.054271
15687,16321,3921,4079,0.6917226314544678,0.523125,0.522915344666629,0.6252177357673645,0.8506,0.922499885,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.418826182262793,3.037,2.808102562229521,27,2024-03-23 23:19:29.312503
31594,32694,3949,4086,0.6912319660186768,0.5258245177349098,0.5246512776024513,0.614405632019043,0.869,0.939457735,"Sensitivity: 6.0, Resolution: 25x25, Copy: +1",SB_6.0_copy_1_25x25,2.5895891759118856,3.926,3.718838528358014,19,2024-03-23 23:20:42.021328
30274,32374,3784,4046,0.6920474171638489,0.5231162196679439,0.5157258650257764,0.6999729871749878,0.5067,0.4363886099999999,"Sensitivity: 0.0, Resolution: 25x25, Copy: +1",SB_0.0_copy_1_25x25,0.3487992259165722,0.0309999999999999,0.0094868329805051,17,2024-03-23 23:20:46.442216
30494,32426,3811,4052,0.6922393441200256,0.522192547373776,0.5149745126527538,0.6811022758483887,0.6447,0.67277903,"Sensitivity: 1.0, Resolution: 25x25, Copy: +1",SB_1.0_copy_1_25x25,0.8740535452705399,0.063,0.0031622776601683,16,2024-03-23 23:21:57.382893
31814,32748,3976,4092,0.6906279921531677,0.528135845314824,0.5298233990944691,0.6097363829612732,0.86515,0.935555175,"Sensitivity: 7.0, Resolution: 25x25, Copy: +1",SB_7.0_copy_1_25x25,2.563342271332488,3.698,3.314066987856462,18,2024-03-23 23:22:03.635628
32034,32802,4004,4099,0.6895591020584106,0.5291867209675429,0.528343606868857,0.5482131838798523,0.9084,0.965825885,"Sensitivity: 8.0, Resolution: 25x25, Copy: +1",SB_8.0_copy_1_25x25,2.895381425650168,6.187,10.084503458276965,20,2024-03-23 23:23:30.797655
30714,32480,3839,4059,0.6920323371887207,0.5222841225626741,0.51884415088438,0.6488212943077087,0.7542,0.828823105,"Sensitivity: 2.0, Resolution: 25x25, Copy: +1",SB_2.0_copy_1_25x25,1.699408014574487,1.406,0.8063808033429367,26,2024-03-23 23:23:34.848907
30934,32534,3866,4066,0.691988468170166,0.5225668179525971,0.5211301102934535,0.6502189040184021,0.78485,0.845813395,"Sensitivity: 3.0, Resolution: 25x25, Copy: +1",SB_3.0_copy_1_25x25,1.7765675894825954,0.6729999999999999,0.3257145989973431,16,2024-03-23 23:24:46.149855
32254,32856,4031,4106,0.6894780397415161,0.5282044979722257,0.5320756344854413,0.5730114579200745,0.8965,0.96061453,"Sensitivity: 9.0, Resolution: 25x25, Copy: +1",SB_9.0_copy_1_25x25,2.815375800847908,5.808,8.658316233541022,23,2024-03-23 23:25:05.700007
31154,32588,3894,4072,0.6917731761932373,0.5234747677629927,0.5209052287383845,0.6377364993095398,0.83665,0.905161255,"Sensitivity: 4.0, Resolution: 25x25, Copy: +1",SB_4.0_copy_1_25x25,2.282532015109536,2.164,2.1187260323128143,22,2024-03-23 23:26:14.341423
32474,32910,4059,4113,0.6881468296051025,0.5292462065589819,0.5368719843288877,0.5474039316177368,0.91395,0.97145519,"Sensitivity: 10.0, Resolution: 25x25, Copy: +1",SB_10.0_copy_1_25x25,2.9311151632100705,6.236,9.03462727510106,20,2024-03-23 23:26:32.220013
31374,32642,3921,4079,0.691662609577179,0.523625,0.5224350948391807,0.6200195550918579,0.8554,0.92563222,"Sensitivity: 5.0, Resolution: 25x25, Copy: +1",SB_5.0_copy_1_25x25,2.4637305250371844,3.0969999999999995,2.779642063288006,20,2024-03-23 23:27:39.403667
15797,16347,3949,4086,0.6909721493721008,0.5249533291848164,0.52707290841241,0.568427324295044,0.8697,0.93154232,"Sensitivity: 6.0, Resolution: 25x25",SB_6.0_25x25,2.6351259742183104,4.983,7.744417989752361,39,2024-03-23 23:28:02.362845
15137,16187,3784,4046,0.6920642852783203,0.5243933588761175,0.5140465448086957,0.6890426278114319,0.57695,0.57761386,"Sensitivity: 0.0, Resolution: 25x25",SB_0.0_25x25,0.5331600135043888,0.046,0.0189736659610102,21,2024-03-23 23:28:47.711987
15907,16374,3976,4092,0.6902049779891968,0.5286316311353495,0.5285715084741096,0.5748117566108704,0.8959,0.95917668,"Sensitivity: 7.0, Resolution: 25x25",SB_7.0_25x25,2.815692028613925,5.359,6.618647142732419,35,2024-03-23 23:29:43.220199
15247,16213,3811,4052,0.6922591328620911,0.5225740811395142,0.514893889279306,0.6779224872589111,0.6569,0.6902603350000001,"Sensitivity: 1.0, Resolution: 25x25",SB_1.0_25x25,0.835157530050469,0.0649999999999999,0.0189736659610102,23,2024-03-23 23:29:56.062180
15357,16240,3839,4059,0.6920430064201355,0.5235502658900988,0.5225103146150929,0.6576241850852966,0.75,0.7953948399999999,"Sensitivity: 2.0, Resolution: 25x25",SB_2.0_25x25,1.455596406975505,0.173,0.0569209978830308,17,2024-03-23 23:30:53.684604
16017,16401,4004,4099,0.6897971034049988,0.527952610144391,0.5303149217213623,0.5879891514778137,0.89835,0.96192951,"Sensitivity: 8.0, Resolution: 25x25",SB_8.0_25x25,2.8254950893604467,5.377999999999999,6.141143216046993,31,2024-03-23 23:31:14.327341
15467,16267,3866,4066,0.6920039653778076,0.5210539586485123,0.5188736596290539,0.6540288925170898,0.77955,0.8440333050000001,"Sensitivity: 3.0, Resolution: 25x25",SB_3.0_25x25,1.728500969048036,0.536,0.1960612149304395,25,2024-03-23 23:32:06.857193
