Train signal size,Train background size,Validation signal size,Validation background size,Loss,ACC,AUC,Loss-true,ACC-true,AUC-true,Sample Type,Model Name,TPR/FPR^0.5: FPR=0.1,TPR/FPR^0.5: FPR=0.01,TPR/FPR^0.5: FPR=0.001,Training epochs,time
15687,16321,3921,4079,0.6911211013793945,0.525,0.5265525446519483,0.6163926720619202,0.8684,0.938079545,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.5759913819731617,3.744,3.3393652091378088,23,2024-04-23 15:25:08.986511
15687,16321,3921,4079,0.691493809223175,0.523375,0.5257533266569792,0.6460002660751343,0.831,0.896376665,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.236995216803112,1.4399999999999995,0.8506526905852941,24,2024-04-23 15:26:27.770221
15687,16321,3921,4079,0.6929524540901184,0.509875,0.4997206722947369,0.6933622360229492,0.50005,0.489947965,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,3.09618605707086,9.791,30.9618605707086,18,2024-04-23 15:27:12.839660
15687,16321,3921,4079,0.6911840438842773,0.524875,0.5230036603652712,0.6091879606246948,0.88705,0.95299487,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.7268320263631933,5.012999999999999,8.010049313206506,24,2024-04-23 15:28:19.040036
15687,16321,3921,4079,0.6915885210037231,0.5235,0.5255386179071474,0.6429901123046875,0.80995,0.87463649,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.0342932187863183,1.513,0.9202227991089984,23,2024-04-23 15:29:37.725247
15687,16321,3921,4079,0.6915345191955566,0.523625,0.5252010799962661,0.6497371792793274,0.80895,0.8805060449999998,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.1029146440119724,2.141,1.9859103705857424,21,2024-04-23 15:30:25.198867
15687,16321,3921,4079,0.6915561556816101,0.5245,0.5240958363821788,0.6384462118148804,0.8438,0.915378365,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.37613543385052,2.096,1.884717485460354,22,2024-04-23 15:31:18.406821
15687,16321,3921,4079,0.6905920505523682,0.5275,0.5257508569436365,0.5750078558921814,0.87825,0.94753952,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.692679427633375,4.843999999999999,6.685054973595954,22,2024-04-23 15:32:31.024172
15687,16321,3921,4079,7.775205612182617,0.509875,0.5,7.624600887298584,0.5,0.5,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,3.162277660168379,10.0,31.6227766016838,12,2024-04-23 15:33:31.077402
15687,16321,3921,4079,0.6913639903068542,0.526625,0.525064620518541,0.6390486359596252,0.83885,0.91308595,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.3034030476666474,2.055,2.04915592378911,19,2024-04-23 15:35:22.487981
15687,16321,3921,4079,0.6911525726318359,0.527625,0.5290906596754397,0.6246314644813538,0.83635,0.91022605,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.347991162675022,4.113,5.318951024403214,28,2024-04-23 15:36:22.108797
15687,16321,3921,4079,0.6915173530578613,0.52325,0.5232130545420872,0.6025134325027466,0.88825,0.95208047,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.754660069772675,4.899,6.3087439320359175,31,2024-04-23 15:37:32.275661
15687,16321,3921,4079,0.69146329164505,0.529125,0.5317354725677685,0.5983496904373169,0.84865,0.91583149,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.4204073210928776,2.456,1.2775601747080252,19,2024-04-23 15:38:17.524179
15687,16321,3921,4079,0.6912041306495667,0.525375,0.5245477939238674,0.6259956955909729,0.8551,0.92678855,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.5023103124912387,3.086,2.49819935153302,15,2024-04-23 15:38:57.616355
15687,16321,3921,4079,7.775204658508301,0.509875,0.5,7.624600887298584,0.5,0.5,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,3.162277660168379,10.0,31.6227766016838,12,2024-04-23 15:39:28.865198
15687,16321,3921,4079,0.6912756562232971,0.526125,0.5289283463631032,0.5968572497367859,0.88075,0.948668105,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.7027987161459137,5.531,9.83468352312366,19,2024-04-23 15:40:30.096678
15687,16321,3921,4079,0.6929529905319214,0.509875,0.5,0.6933712363243103,0.5,0.5,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,3.162277660168379,10.0,31.6227766016838,14,2024-04-23 15:41:19.988070
15687,16321,3921,4079,7.775205612182617,0.509875,0.5,7.624600887298584,0.5,0.5,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,3.162277660168379,10.0,31.6227766016838,12,2024-04-23 15:43:05.103735
