Fraction 1,Fraction 2,Classification ACC,Classification AUC,Version
0.0,1.0,0.8934,0.9607314810000002,
0.1,0.9,0.88931,0.9563693706,
0.2,0.8,0.87372,0.943795708,
0.3,0.7,0.86941,0.937889028,
0.4,0.6,0.8113,0.8882501110000001,
0.5,0.5,0.67591,0.7253053354000001,
0.6,0.4,0.84851,0.9204524836,
0.7,0.3,0.8381,0.9153311568,
0.8,0.2,0.88148,0.951003013,
0.9,0.1,0.88277,0.9511534362,
1.0,0.0,0.89553,0.9613428498,
0.0,1.0,0.89408,0.9596067142,No pairing
0.1,0.9,0.88078,0.9509608924,No pairing
0.2,0.8,0.81977,0.8964325283999999,No pairing
0.3,0.7,0.8163,0.8940422562,No pairing
0.4,0.6,0.80781,0.8803111652,No pairing
0.5,0.5,0.5476,0.5462889000000001,No pairing
0.6,0.4,0.80778,0.8819721768,No pairing
0.7,0.3,0.81585,0.8915954716000001,No pairing
0.8,0.2,0.81903,0.8955388498,No pairing
0.9,0.1,0.82088,0.8978358637999999,No pairing
1.0,0.0,0.8866,0.9551412498,No pairing
