Train signal size,Train background size,Test signal size,Test background size,ACC,AUC,Sample Type,time
300000,300000,5000,5000,0.8891000151634216,0.95671288,500GeV: pT smearing 5,2023-11-22 14:11:43.930123
50000,50000,5000,5000,0.8253999948501587,0.9185261,500GeV: Origin,2023-11-22 14:18:00.214395
50000,50000,5000,5000,0.8385999798774719,0.9164089,500GeV: Origin,2023-11-22 14:18:59.693524
50000,50000,5000,5000,0.8476999998092651,0.9210193599999998,500GeV: Origin,2023-11-22 14:20:04.891765
50000,50000,5000,5000,0.8495000004768372,0.91217972,500GeV: Origin,2023-11-22 14:20:48.872870
50000,50000,5000,5000,0.8585000038146973,0.9210035599999998,500GeV: Origin,2023-11-22 14:21:34.029305
50000,50000,5000,5000,0.8575999736785889,0.92319212,500GeV: Origin,2023-11-22 14:22:34.468990
50000,50000,5000,5000,0.8555999994277954,0.9227366,500GeV: Origin,2023-11-22 14:23:30.454079
50000,50000,5000,5000,0.8560000061988831,0.91467702,500GeV: Origin,2023-11-22 14:24:11.304755
50000,50000,5000,5000,0.8445000052452087,0.90975208,500GeV: Origin,2023-11-22 14:24:52.125896
50000,50000,5000,5000,0.815500020980835,0.90999558,500GeV: Origin,2023-11-22 14:25:43.402629
300000,300000,5000,5000,0.8870000243186951,0.95510292,500GeV: Rotation 5,2023-11-22 14:48:58.100494
300000,300000,5000,5000,0.8917999863624573,0.9570481,500GeV: pT smearing 5,2023-11-22 15:10:24.422801
300000,300000,5000,5000,0.8896999955177307,0.95635568,500GeV: All augmentation 5,2023-11-22 15:18:33.449255
300000,300000,5000,5000,0.8815000057220459,0.95471592,500GeV: Rotation 5,2023-11-22 15:21:06.492026
300000,300000,5000,5000,0.8859999775886536,0.95329342,500GeV: Rotation 5,2023-11-22 15:29:24.764962
300000,300000,5000,5000,0.8848000168800354,0.95497458,500GeV: Eta Phi smearing 5,2023-11-22 15:35:23.148256
300000,300000,5000,5000,0.8888000249862671,0.9563586200000002,500GeV: Rotation 5,2023-11-22 15:42:22.312850
